"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Efficient EEG-Based Motor Imagery Classification via Wavelet Genetic Optimization and Machine Learning","M. Nadeem; S. M. Qaisar; U. S. Khan","College of Engineering and Technology, American University of the Middle East, Kuwait; College of Engineering and Technology, American University of the Middle East, Kuwait; Department of Electrical Engineering, Information Technology University, Lahore, Pakistan",2026 7th International Conference on Advancements in Computational Sciences (ICACS),"18 Mar 2026","2026","","","1","6","This paper presents a Brain-computer interfaces (BCI) system which is based on Berlin BCI Competition IV dataset built using Electroencephalography (EEG) recordings of healthy participants when performing motor imagery (MI) tasks using hand and foot movements. We applied an innovative hybrid framework which extracts time-frequency information using the Discrete Wavelet Transform (DWT) and selects features using wavelet genetic optimization (GA) reducing the data dimensions and maximizing the efficiency. This innovative combination of DWT and genetic optimization for feature selection resulted in dimensionality reduction by 2.06 times while achieving an accuracy of 89.76% with Support Vector Machine (SVM) classifier, surpassing the performance of related hybrid approaches. A comparison with weighted k-NN and wide neural networks is also provided that demonstrates robustness and efficiency of the proposed method. This makes it an effective method for classifying MI tasks and suitable for lowlatency and resource-constrained real-world BCI applications.","2616-3330","979-8-3315-6191-8","10.1109/ICACS69208.2026.11433164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11433164","machine learning;bci;wavelet genetic algorithm;classification;discrete wavelet transform (dwt);motor imagery tasks","Support vector machines;Accuracy;Transforms;Feature extraction;Motors;Genetics;Electroencephalography;Discrete wavelet transforms;Optimization;Genetic algorithms","","","","23","IEEE","18 Mar 2026","10-11 Feb. 2026","10-11 Feb. 2026","IEEE","IEEE Conferences"
"FA-EEGNet: Enhancing EEGNet with Frequency-Adaptive Kernels for the classification of stroke rehabilitation movements","M. H. Mim; D. R. Pranto; M. M. Hasan","Department of Robotics and Mechatronics Engineering, University of Dhaka, Dhaka, Bangladesh; Department of Robotics and Mechatronics Engineering, University of Dhaka, Dhaka, Bangladesh; Department of Robotics and Mechatronics Engineering, University of Dhaka, Dhaka, Bangladesh","2026 5th International Conference on Electrical, Computer & Telecommunication Engineering (ICECTE)","16 Mar 2026","2026","","","1","6","Brain-computer interfaces (BCIs) can enhance post-stroke rehabilitation by providing a direct communication pathway between the brain and assistive devices. Motor imagery (MI)-based BCIs typically rely on electroencephalography (EEG) signals, yet robust classification remains challenging due to inter-and intra-subject variability. EEGNet, a convolutional neural network (CNN) tailored for EEG classification, still relies on fixed temporal filters and cannot fully capture subject-specific spectral characteristics. We propose FA-EEGNet (Frequency-Adaptive Temporal Kernel EEGNet), an enhanced variant of EEGNet that replaces the fixed temporal convolution layer with a frequency-adaptive filter parameterized by spectral band power features. We evaluate EEGNet and FA-EEGNet on the open-source Clinical BCI Challenge-WCCI 2020 dataset, which comprises EEG recordings from 10 hemiparetic stroke patients performing left- and right-hand grasp motor imagery tasks. For within-subject classification, EEGNet attains a mean Cohen’s kappa of 0.632 (81.6% accuracy), whereas FA-EEGNet reaches 0.912 (95.6% accuracy). For cross-subject classification with a leave-one-subject-out (LOSO) strategy, FA-EEGNet achieves a kappa of 0.767 (88.4% accuracy) versus 0.590 (79.5% accuracy) for EEGNet. These findings demonstrate that incorporating frequency adaptivity into temporal kernels substantially improves MI-EEG classification and generalization for stroke rehabilitation BCIs.","","979-8-3315-6135-2","10.1109/ICECTE69292.2026.11429349","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11429349","Brain Computer Interface (BCI);EEGNet;Motor Imagery Classification;Frequency Adaptive Classification","Accuracy;Filters;Stroke (medical condition);Motors;Electroencephalography;Brain-computer interfaces;Recording;Convolutional neural networks;Kernel;Standards","","","","26","IEEE","16 Mar 2026","29-31 Jan. 2026","29-31 Jan. 2026","IEEE","IEEE Conferences"
"Machine Learning-Based EEG Classification for Controlling a Lower-Body Robotic Exoskeleton","H. Pery; R. Yozevitch; E. Holdengreber","Department of Mechanical Engineering and Mechatronics, Ariel University, Israel; Department of Computer and Software Engineering, Ariel University, Ariel, Israel; Department of Mechanical Engineering and Mechatronics, Ariel University, Israel",IEEE Sensors Journal,"","2026","PP","99","1","1","Brain–computer interface (BCI) research for lower-limb assistance has advanced rapidly; however, many existing studies focus on upper-limb or binary tasks and rely on large multi-user datasets or deep neural models requiring substantial training data. This paper presents a data-efficient EEG-based framework for multi-class lower-body movement recognition and its integration with a robotic exoskeleton. Electroencephalogram (EEG) data were collected using a 14-channel EMOTIV EPOC X headset from 15 participants (ages 23–78, 33% women) performing six periodic lower-body movements: resting stand, resting sit, walking, standing–sitting transition, spin left, and spin right. A single-subject dataset (180 recordings) was used for user-specific calibration, while the complete multi-subject dataset (600 recordings) was used to evaluate robustness under inter-subject variability. Signals were segmented into 2-second windows and processed using a discrete wavelet transform (DWT) with the bior4.4 wavelet at three decomposition levels. Statistical features (energy, entropy, mean, and standard deviation) were classified using a Gradient Boosted Tree (GBT) model. In the single-subject calibration setting, the model achieved 0.742±0.035 accuracy across six classes. In the multi-subject evaluation, DWT-based classification achieved 0.718±0.025, outperforming a Random Forest baseline (0.696±0.022) and a lightweight 1D CNN trained on raw EEG signals (0.549±0.036). Hybrid feature integration combining DWT, band power, and filter bank common spatial patterns further improved multisubject performance to 0.748±0.018, increasing to 0.759±0.020 with 90% overlapping windows. Reduced-class experiments achieved 0.895 ± 0.019 for three movements and 0.936 ± 0.015 for binary classification. The trained classifier was integrated with a six-degree-of-freedom servo-actuated exoskeleton driven by a Hopf oscillator– based central pattern generator (CPG), translating EEG-derived movement states into coordinated actuation commands. These results demonstrate that structured wavelet-based feature extraction combined with ensemble learning provides a computationally efficient and physiologically grounded strategy for adaptive lower-limb neuro-controlled assistive systems.","1558-1748","","10.1109/JSEN.2026.3667277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11422364","Brain-computer interface (BCI);discrete wavelet transform (DWT);EEG signal processing;exoskeleton control;lower-limb assistive devices;machine learning;motor intention classification;neurorehabilitation;Gradient Boosted Trees;Random Forest","Electroencephalography;Exoskeletons;Discrete wavelet transforms;Feature extraction;Robots;Motors;Brain modeling;Robot kinematics;Limbs;Sensors","","","","","IEEE","5 Mar 2026","","","IEEE","IEEE Early Access Articles"
"STAND-Net: A Spiking Temporal Attention autoeNcoDer Network for Efficient EEG Artifact Removal","R. Zhang; X. Guo; Y. Pan; S. Gao","School of Instrumentation and Optoelectronic Engineering and Hangzhou International Innovation Institute, Beihang University, Beijing, China; Department of Mechanical Engineering, City University of Hong Kong, Hong Kong, China; Department of Rehabilitation Medicine, School of Clinical Medicine, Beijing Tsinghua Changgung Hospital, Tsinghua University, Beijing, China; School of Instrumentation and Optoelectronic Engineering and Hangzhou International Innovation Institute, Beihang University, Beijing, China",IEEE Journal of Biomedical and Health Informatics,"","2026","PP","99","1","14","Electroencephalography (EEG)-based brain computer interface (BCI) systems hold significant promise across diverse applications; however, their performance is compromised by pervasive physiological artifacts that degrade signal fidelity. While current deep neural networks (DNNs) improve artifact rejection, their high computational cost precludes deployment in wearable BCIs systems. Here, we introduce STAND-Net (Spiking Temporal Attention autoeNcoDer Network), a neuromorphic architecture that leverages event-driven spiking neurons to achieve ultra-efficient, high-fidelity EEG artifact removal. STAND-Net combines a spike-convolution encoder-decoder with leaky integrate-and-fire neurons to model spatiotemporal EEG dynamics, a dilation-enhanced residual backbone capturing long-range dependencies, and a spike-rate attention mechanism dynamically localizing artifacts via neuronal firing patterns. The system demonstrates >3.7 dB improvement in signal-to-distortion ratio over state-of-the-art methods across diverse artifacts while consuming 97.98% less power than comparable DNNs. Crucially, downstream BCI classification accuracy increased by 6.64% using STAND-Net-processed signals. This work establishes a neuromorphic framework for low-power and high quality EEG artifact removal in wearable BCI systems.","2168-2208","","10.1109/JBHI.2026.3670141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11421297","Electroencephalography;Artifact Removal;Spiking Neural Networks;Spike Attention;STAND-Net","Electroencephalography;Convolution;Computer architecture;Brain modeling;Feature extraction;Neurons;Firing;Encoding;Wearable devices;Spatiotemporal phenomena","","","","","IEEE","4 Mar 2026","","","IEEE","IEEE Early Access Articles"
"Structure-Preserving EEG Augmentation via Riemannian Conditional Generative Adversarial Networks","M. Doku; I. E. Tibermacine; S. Russo; A. Rabehi; M. Habib; C. Napoli","Department of Computer, Automation and Management Engineering, Sapienza University of Rome, Rome, Italy; Department of Computer, Automation and Management Engineering, Sapienza University of Rome, Rome, Italy; Faculty of Psychology, Sapienza University of Rome, Rome, Italy; Laboratory of Telecommunications and Smart Systems, Faculty of Sciences and Technologies, University of Djelfa, Djelfa, Algeria; Department of Civil and Architectural Engineering, Division of Building Technology and Design, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Computer, Automation and Management Engineering, Sapienza University of Rome, Rome, Italy",IEEE Access,"20 Feb 2026","2026","14","","25181","25192","Electroencephalography (EEG) data are pivotal in brain–computer interfaces (BCIs), yet their utility is hindered by data scarcity arising from high acquisition costs, noise susceptibility, and privacy constraints. Traditional augmentation methods, such as noise injection and signal transformations, often fail to preserve task-relevant structure in multichannel EEG, while deep generative models may suffer from mode collapse or produce physiologically inconsistent samples. To address these limitations, we propose a Riemannian Conditional Generative Adversarial Network (RC-GAN) that enforces geometric consistency during signal generation. RC-GAN leverages the manifold of symmetric positive definite (SPD) covariance matrices to regularize synthetic EEG trials according to covariance-based representations widely used in BCI decoding. Evaluated on the BNCI 2014-001 motor imagery dataset, the proposed method outperforms state-of-the-art augmentation techniques, achieving a 12.0% improvement in classification accuracy. Qualitative and quantitative analyses demonstrate that RC-GAN generates diverse and realistic EEG samples while enhancing robustness at different augmentation levels. These results highlight the benefit of incorporating Riemannian structure into generative models for EEG augmentation and provide a principled framework for improving the reliability of BCI systems.","2169-3536","","10.1109/ACCESS.2026.3663245","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11389810","EEG;GAN;Riemannian geometry;SPD matrices;motor imagery;BCI","Electroencephalography;Brain modeling;Generators;Generative adversarial networks;Manifolds;Noise;Geometry;Data models;Decoding;Training","","","","45","CCBY","10 Feb 2026","2026","","IEEE","IEEE Journals"
"Decoding of Intuitive Motor Imagery Paradigm Based on Frequency-Band Double-Branch Network","L. Pan; D. Liu; J. Li; J. Li","Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education, School of Mechanical Engineering and the Institute of Medical Robotics and Intelligent Systems, Tianjin University, Tianjin, China; Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education, School of Mechanical Engineering and the Institute of Medical Robotics and Intelligent Systems, Tianjin University, Tianjin, China; Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education, School of Mechanical Engineering and the Institute of Medical Robotics and Intelligent Systems, Tianjin University, Tianjin, China; Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education, School of Mechanical Engineering and the Institute of Medical Robotics and Intelligent Systems, Tianjin University, Tianjin, China",IEEE Transactions on Medical Robotics and Bionics,"10 Mar 2026","2026","8","1","466","477","Motor imagery (MI) based brain-computer interfaces hold significant promise in assistive control and rehabilitation applications. However, conventional paradigms face critical limitations: multi-dimensional MI paradigms based on spatial separability suffer from non-intuitive control mechanisms and high user learning costs, while unilateral limb MI paradigms exhibit limited classification accuracy, failing to satisfy practical requirements. To address these challenges, this study proposes an intuitive MI paradigm that integrates the spatial separability of neural activity in limbs. The proposed paradigm includes four distinct MI movements: left hand abduction (leftward movement), right hand abduction (rightward movement), bilateral upper limb elevation, and bilateral upper limb depression. Ten subjects were recruited for data collection. A frequency-band double-branch network (FBDBNet) was developed to enhance decoding performance, which is a hybrid architecture combining multi-frequency band segmentation, double-branch (spatiotemporal and time-frequency) feature extraction, and a one-dimensional channel attention mechanism. Comparative analysis demonstrated that FBDBNet can achieve superior classification accuracy ( $p \lt 0.05$ , Wilcoxon signed rank test) compared to existing advanced models, significantly improving MI recognition efficiency. In addition, the time-frequency characteristics of the collected data were analyzed to validate the novel paradigm. This investigation provides foundations for advancing brain-computer interface technology toward broader applications in neurorehabilitation and control.","2576-3202","","10.1109/TMRB.2025.3646714","National Natural Science Foundation of China(grant numbers:52525504); Emerging Frontiers Cultivation Program of Tianjin University Interdisciplinary Center; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11311113","Electroencephalogram (EEG);brain–computer interface (BCI);motor imagery (MI);bilateral and unilateral upper limbs;deep learning","Electroencephalography;Brain modeling;Feature extraction;Electrodes;Decoding;Accuracy;Time-frequency analysis;Convolution;Motors;Hands","","","","42","IEEE","22 Dec 2025","Feb. 2026","","IEEE","IEEE Journals"
"Multi-Scale Shapley Adaptation Pruning: Realizing Backdoor Defense in Brain-Computer Interface With Shapley-Value-Based Neural Network Pruning","F. Li; R. Yang; H. Cheng; M. Huang; F. Zhang; F. E. Alsaadi; Z. Wang","School of Advanced Technology, Xi’an Jiaotong-Liverpool University, Suzhou, China; School of Advanced Technology, Xi’an Jiaotong-Liverpool University, Suzhou, China; School of Electronic & Information Engineering, Suzhou University of Science and Technology, Suzhou, China; Design School, Xi’an Jiaotong-Liverpool University, Suzhou, China; School of Advanced Technology, Xi’an Jiaotong-Liverpool University, Suzhou, China; Communication Systems and Networks Research Group, Department of Electrical and Computer Engineering, Faculty of Engineering, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Computer Science, Brunel University London,, Uxbridge, U.K.",IEEE Transactions on Emerging Topics in Computational Intelligence,"22 Jan 2026","2026","10","1","967","981","In the recent years, researchers made significant progress in electroencephalogram (EEG) classification tasks using deep neural networks, especially in brain-computer interface (BCI) systems. BCI systems rely on EEG signals for effective human-computer interaction, and deep neural networks have shown excellent performance in processing EEG signals. However, backdoor attack have a significant impact on the security of EEG-based BCI systems. In this paper, a novel multi-scale Shapley adaptation pruning (MSAP) method is proposed to solve the security problem caused by backdoor attack. In the proposed MSAP, the multi-scale Shapley segmented mapping method is used to accurately locate the backdoor weights. Subsequently, the cost function is utilized to adaptively prune the backdoor weights to ensure normal classification. Ultimately, the validity of the experiments is verified on the BCI competition public datasets (BCI-III-IVb, BCI-III-IVa, and BCI-IV-1a). The results show that the proposed MSAP method outperforms other pruning methods in defending EEG-based BCI systems against backdoor attack, maintaining a high baseline classification accuracy while reducing the attack success rate.","2471-285X","","10.1109/TETCI.2025.3619564","National Natural Science Foundation of China; the Jiangsu Provincial Scientific Research Center of Applied Mathematics; Qinglan Project of Jiangsu Province of China; Natural Science Foundation of the Jiangsu Higher Education Institutions of China; Research Enhancement Fund of XJTLU(grant numbers:REF-23-01-008); Deanship of Scientific Research; King Abdulaziz University(grant numbers:72-135-2024); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11223759","Electroencephalogram;brain-computer interface;backdoor attack;Shapley value","Electroencephalography;Brain modeling;Security;Neurons;Computational modeling;Complexity theory;Brain-computer interfaces;Time-frequency analysis;Perturbation methods;Feature extraction","","","","71","IEEE","31 Oct 2025","Feb. 2026","","IEEE","IEEE Journals"
"Optimizing EEG Signal Quality and Streaming Performance in BCIs Using ADS1299EEG-FE","Y. Orazov; M. Ekayev; K. Ryzayev; G. Mezilov","Department of Cyberphysical systems, Oguz han Engineering and technology university of Turkmenistan, Ashgabat, Turkmenistan; Department of Nanotechnology and Materials Science, Oguz han Engineering and technology university of Turkmenistan, Ashgabat, Turkmenistan; Dean of the faculty of Computer Science and Information Technology, Oguz han Engineering and technology university of Turkmenistan, Ashgabat, Turkmenistan; Rector of the Oguz han Engineering and technology university of Turkmenistan, Oguz han Engineering and technology university of Turkmenistan, Ashgabat, Turkmenistan","2025 5th International Conference on Robotics, Automation, and Artificial Intelligence (RAAI)","12 Mar 2026","2025","","","419","423","Reliable and noise-free electroencephalography (EEG) acquisition is a key factor in building effective braincomputer interface (BCI) systems. This paper presents an evaluation of methods for optimizing EEG signal quality and realtime streaming performance using the ADS1299EEG-FE platform. The study compares hardware-based noise reduction strategiessuch as active shielding and grounding-with software-level filtering and adaptive preprocessing techniques to enhance the signal-to-noise ratio (SNR) under varying environmental conditions. In addition, an edge-based streaming setup using a Raspberry Pi was implemented to test the performance of realtime EEG data transmission to a cloud analytics platform. Experimental results showed that the optimized configuration achieved up to a 35% reduction in power line noise and a 40% improvement in signal stability during continuous recording, while maintaining low data latency suitable for BCI feedback applications. The outcomes demonstrate that ADS1299EEG-FE can serve as a reliable, low-cost, and scalable solution for EEG data acquisition in both research and educational environments. These findings contribute to ongoing efforts to make EEG-driven intelligent systems more accessible and efficient for neurotechnology applications.","","979-8-3315-5873-4","10.1109/RAAI67517.2025.11423336","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11423336","EEG acquisition;brain-computer interface (BCI);ADS1299EEG-FE;signal processing;noise reduction;real-time data streaming;IoT neuroscience;hardware optimization","Noise reduction;Electroencephalography;Stability analysis;Real-time systems;Recording;Reliability;Robots;Optimization;Neurotechnology;Signal to noise ratio","","","","8","IEEE","12 Mar 2026","18-20 Dec. 2025","18-20 Dec. 2025","IEEE","IEEE Conferences"
"Scale Specific Riemannian Features with Graph Convolutional Network for Motor Imagery EEG Classification","Balendra; A. Pathak; N. Sharma; S. Sharma","School of Biomedical Engineering, Indian Institute of Technology, Banaras Hindu University, Varanasi, India; Department of Computer Science, Indian Institute of Information Technology, Bhagalpur, Bhagalpur, India; School of Biomedical Engineering, Indian Institute of Technology, Banaras Hindu University, Varanasi, India; School of Biomedical Engineering, Indian Institute of Technology, Banaras Hindu University, Varanasi, India",2025 International Conference on Intelligent Computing and Next Generation Networks (ICNGN),"6 Mar 2026","2025","","","1","6","Motor imagery (MI) electroencephalogram (EEG) signals, generated during imagined limb movements, provide essential neural patterns for brain–computer interface (BCI) applications. Accurate decoding of these signals is critical for robust MI-BCI systems. This work proposes a unified framework integrating multi-scale wavelet decomposition, Riemannian geometry, and graph-based deep learning for MI-EEG classification. Continuous Wavelet Transform with Morlet wavelets extracts scale-specific time–frequency features, from which spatial covariance matrices are computed. Fisher Geodesic Discriminant Analysis enhances class separability on the Riemannian manifold, and the features are projected into tangent space before concatenation across scales. A Graph Convolutional Network then models trial-level relational structure, treating each trial as a graph node connected via k-nearest neighbors. Comparative evaluation with Support Vector Machine, Linear Discriminant Analysis, and Artificial Neural Network baselines shows superior performance. On the BCI Competition IV-2a dataset, the proposed method achieves 96.36% (subject-dependent) and 80.94% (subject-independent), surpassing prior approaches by 13.23% and 12.81%, respectively.","","979-8-3315-7070-5","10.1109/ICNGN67480.2025.11413723","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11413723","Electroencephalogram;Motor Imagery;Continuous Wavelet Transform;Riemannian manifold;Graph Convolutional Network","Manifolds;Geometry;Continuous wavelet transforms;Accuracy;Graph convolutional networks;Motors;Feature extraction;Brain modeling;Electroencephalography;Decoding","","","","21","IEEE","6 Mar 2026","12-14 Dec. 2025","12-14 Dec. 2025","IEEE","IEEE Conferences"
"NeuroClean: A Benchmarking and Optimization Framework for EEG Preprocessing in Semantic Brain-to-Text Decoding","P. Pawar; N. Kulkarni","Computer Science and Engineering Department, MIT SoC, MIT Art, Design and Technology University, Pune, Maharashtra, India; Computer Science and Engineering Department, MIT SoC, MIT Art, Design and Technology University, Pune, Maharashtra, India",2025 3rd International Conference on Computational Intelligence and Network Systems (CINS),"3 Mar 2026","2025","","","1","6","Brain-to-text systems are rapidly emerging at the intersection of neuroscience, brain–computer interfaces (BCIs), and artificial intelligence, aiming to decode neural signals into coherent text. While advances in LLMs and EEG decoding models have shown early promise, the preprocessing of raw EEG signals remains an underexplored but critical bottleneck. Most current systems reuse pipelines from ERP or motor imagery tasks, which are poorly suited for extracting semantic content from naturalistic thought processes.We introduce NeuroClean, a modular benchmarking environment purpose-built for optimizing EEG preprocessing in semantic brain-to-text decoding. We systematically evaluate combinations of filtering, artifact removal, referencing, and epoching methods across multiple datasets, including both stimulus-driven and resting-state EEG. We use both signal-quality metrics (e.g., SNR, entropy) and semantic readiness metrics, such as alignment with sentence embeddings from LLMs and classification accuracy in thought-tagging tasks. Our results show that traditional pipelines optimized for motor-control BCI underperform when applied to language decoding tasks. Notably, wavelet-based denoising, adaptive artifact rejection, and Laplacian referencing yield significant improvements in semantic fidelity of the resulting EEG features.NeuroClean fills a critical gap by offering a reproducible, extensible preprocessing benchmarking toolkit, paving the way for more robust EEG-to-text pipelines. We conclude by recommending best practices and providing open-source code to support future work in cognitive decoding and brain-aligned generative AI systems.Implementation-level validation has been performed through systematic design analysis on benchmark EEG corpora such as ZuCo and BCI-IV with a focus on establishing reproducible baselines for future experimental benchmarking. The present study outlines a conceptual yet implementation-ready framework, all modules have been defined with implementation-ready specifications, and the framework will serve as the baseline for empirical benchmarking in subsequent experimental validation phases.","","979-8-3315-8881-6","10.1109/CINS67018.2025.11412037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11412037","EEG preprocessing;brain-to-text decoding;semantic EEG;large language models;cognitive neuroscience;NeuroClean","Systematics;Accuracy;Semantics;Pipelines;Benchmark testing;Brain modeling;Electroencephalography;Decoding;Signal integrity;Signal to noise ratio","","","","35","IEEE","3 Mar 2026","25-26 Nov. 2025","25-26 Nov. 2025","IEEE","IEEE Conferences"
