Titulo,Autores,Ano de Publicacao,Fonte
Efficient EEG-Based Motor Imagery Classification via Wavelet Genetic Optimization and Machine Learning,M. Nadeem; S. M. Qaisar; U. S. Khan,2026,IEEE
FA-EEGNet: Enhancing EEGNet with Frequency-Adaptive Kernels for the classification of stroke rehabilitation movements,M. H. Mim; D. R. Pranto; M. M. Hasan,2026,IEEE
Decoding of Intuitive Motor Imagery Paradigm Based on Frequency-Band Double-Branch Network,L. Pan; D. Liu; J. Li; J. Li,2026,IEEE
Scale Specific Riemannian Features with Graph Convolutional Network for Motor Imagery EEG Classification,Balendra; A. Pathak; N. Sharma; S. Sharma,2025,IEEE
NeuroClean: A Benchmarking and Optimization Framework for EEG Preprocessing in Semantic Brain-to-Text Decoding,P. Pawar; N. Kulkarni,2025,IEEE
Motion Intention Recognition Based on Deep Learning Approaches for EEG Signal Analysis Considering Laban/Bartenieff Movement System,Y. Li; S. Zhang; X. Liang; H. Qin; T. Huang; Z. Jing; Y. Gao,2025,IEEE
Classification of Delta Band Motor Imagery EEG Signals in SCI Patients using the Regularized Common Temporal Pattern Method,M. Babaei; S. Shadzinavaz; S. H. Sardouie,2025,IEEE
A Combined Time-Frequency and Common Spatial-Spectral Pattern Approach for EEG-Based Motor Imagery Classification,R. Nejati; H. D. Hesar,2025,IEEE
A Novel Deep Learning Framework for High-Gamma EEG Signal Classification Using Hybrid Compact-CNN-LSTM Network,V. S. Kardam; S. Taran; A. Pandey,2025,IEEE
RGFTSLANet: A Cross-Subject Classification Model for Decoding EEG-Based Motor Imagery Tasks,Y. Zhao; B. Jiang; Y. Yan; D. He; X. Zhang; S. Zou; Y. Zhu; X. Hu; G. Xie,2025,IEEE
Optimized Motor Imagery EEG Signal Classification Using Binary Whale Optimization Algorithm and Deep Neural Networks,G. Tiwari; A. K. Tiwari; M. Yadav,2025,IEEE
EEG based Motor Imagery of Hands Classification using Modified Sub-Band Common Spatial Pattern,Y. Kashyap; E. Chowdhury; C. S. Kumar; M. Mahadevappa,2025,IEEE
Adaptive Spatial Filtering and Linear Discriminant Learning for Robust Motor Imagery EEG Classification,S. Parui; A. Das; S. Banerjee; M. K. Gourisaria; R. K. Rai,2025,IEEE
Home Robot Motor Imagery Interaction and Emotional Awareness Based on Multimodal EEG Feature Extraction,T. H. Zhou; C. Yang; D. Li; L. Wang,2025,IEEE
Bidirectional Time-Frequency Pyramid Network for Enhanced Robust EEG Classification,J. Hong; S. Li; M. Jian; L. Yang,2025,IEEE
BCI-Based Robotic Arm for Medical Rehabilitation,H. S. G; N. S; A. B; D. M; A. Veluppal,2025,IEEE
Improving Motor Imagery Decoding through EEG Frequency Band Analysis,J. V. Juan; S. Pacheco; E. Iáñez; M. Ortiz; J. Tornero; J. M. Azorín,2025,IEEE
A Hybrid EEG-EOG Brain-Computer Interface for Intelligent Wheelchair Navigation,T. R. M; P. S; R. B; S. K. S; M. P. N,2025,IEEE
Multi-Scale Causal Convolution-Based Swin Transformer for Motor Imagery EEG Classification,H. Yin; X. Huang,2025,IEEE
BCI for Mobile Devices: Time–Frequency and Representation Learning Analysis of Mobile Gesture Tasks,C. M. Yilmaz; A. Ulu; G. Demirbas,2025,IEEE
