Autores,Titulo,Ano de Publicacao,Fonte,status,anotation
"Wang L, Xu G, Wang J, Yang S, Yan W.",Application of Hilbert-Huang transform for the study of motor imagery tasks,2008,PubMed,passou,Parece usar EMD como filtro temporal
"Shin J, Kwon J, Im CH.","A Ternary Hybrid EEG-NIRS Brain-Computer Interface for the Classification of Brain Activation Patterns during Mental Arithmetic, Motor Imagery, and Idle State",2018,PubMed,passou,Usa um Filter Bank para filtragem temporal (modelo = FBCSP)
"Song Y, Sepulveda F.",A novel onset detection technique for brain-computer interfaces using sound-production related cognitive tasks in simulated-online system,2017,PubMed,nao_passou,"Apesar de parecer usar wavelet e bandpass, o artigo parece usar ambos como feature extraction. Alem disso, nao fala sobre BCI EEG MI"
"D J, K C S.",Parallel convolutional neural network and empirical mode decomposition for high accuracy in motor imagery EEG signal classification,2025,PubMed,depende,"Apesar de falar do uso de EMD e de uma PCNN, parece nao possuir nenhum metodo de filtragem temporal"
"Jaipriya D, Sriharipriya KC.",A comparative analysis of masking empirical mode decomposition and a neural network with feed-forward and back propagation along with masking empirical mode decomposition to improve the classification performance for a reliable brain-computer interface,2022,PubMed,passou,Nao aparenta ter claramente um metodo de filtragem temporal. Entretanto o MEMD (Masking Empirical Mode Decomposition) pode ser que tenha na etapa do primeiro M uma forma de filtragem temporal.
"Huang D, Lin P, Fei DY, Chen X, Bai O.",EEG-based online two-dimensional cursor control,2009,PubMed,passou,Falou que explorou o uso de filtragem temporal
"Qiao J, Hu P, Hong J.",[Research of classification about BCI based on the signals energy],2014,PubMed,passou,"apresenta filtro Butterworth para filtragem temporal. Deubachies wavelet parece ser usado tambem como filtragem, porem será necessario ler mais sobre"
"Asogbon MG, Samuel OW, Li X, Nsugbe E, Scheme E, Li G.",A linearly extendible multi-artifact removal approach for improved upper extremity EEG-based motor imagery decoding,2021,PubMed,passou,Aparenta possuir uma filtragem espaco-temporal complexa com o metodo GEVD-MWF
"Zhang M, Huang J, Ni S.",Recognition of motor intentions from EEGs of the same upper limb by signal traceability and Riemannian geometry features,2023,PubMed,nao_passou,Nao apresenta filtragem temporal
"Tong J, Wei X, Dong E, Sun Z, Du S, Duan F.",Hybrid mental tasks based human computer interface via integration of pronunciation and motor imagery,2022,PubMed,passou,"Parece usar uma variacao do FBCSP chamada (selective filter-bank Common Spatial Pattern), logo tem filtragem temporal"
