Autores,Titulo,Ano de Publicacao,Fonte,Status,EEG,BCI,MI,Classification,Model/pipeline,Temporal_filter,Anotation,Baixou
A. D. Athapattu; P. S. B. Dassanayake; G. S. C. Nanayakkara; S. N. Liyanage; G. A. I. Devindi; R. Ragel; T. Dissanayake; I. Nawinne,Self-Paced Brain-Computer Interface on Sensorimotor Rhythms for Controlling Virtual Objects,2024,IEEE,depende,depende,passou,depende,passou,passou,depende,"Artigo meio fora de escopo já que fala ""s. In this research, we explore the possibility of using the techniques used in the motor-imagery method for non-motor imagery mental tasks. The intention here is to use them in virtual object-controlling applications. The research was done with five different classification models using features from the Fast Fourier Transform (FFT) and Wavelet Transform (WT). The K-nearest neighbor model with features obtained with FFT continuously sustained its performance with a high 55% true positive rate."", mas é bom ler para ter certeza.",passou
Z. Wang; C. Cao; Y. Zhou; L. Chen; B. Gu; S. Liu; M. Xu; F. He; D. Ming,Integrating EEG and NIRS improves BCI performance during motor imagery,2021,IEEE,depende,depende,passou,depende,passou,passou,depende,"Esse artigo é um pouco diferente. Fala de integrar EEG com fNIRS, sem contar o fato do dataset utilizado ser bem especifico. Sem contar que o objetivo é a construção de um classificador. Não fala nada de filtro temporal se foi usado, quando e porque. Ler ele buscando o modelo e se tiver filtro temporal da pra colocar na SLR se não tá fora. Artigo fala ""This study aims to improve the BCI performance by integrating electroencephalographic and cerebral hemodynamic patterns. Sixteen volunteers participated in a seven-session motor imagery (MI) based visual-haptic neurofeedback training (NFT) experiment. Electroencephalogram (EEG) and near infrared spectroscopy (NIRS) signals were synchronously recorded during the transient NFT. Time-frequency and topology analysis demonstrated that repetitive and continuous visual-haptic NFT conditions could induce an enhancement on cortical activations. Additionally, a classifier calibration strategy was proposed by integrating both the EEG and NIRS information into a strong classifier.""",passou
R. Govindarajan; M. Haritha; M. O. Sabri; B. Priyanka; T. Mrudula; R. V,Optimal Deep Learning Model and Non-linear Features Extraction with Classification for Innovative Brain–Computer Interaction Using EEG Signals,2025,IEEE,depende,depende,passou,depende,passou,passou,passou,"O artigo fala ""The Optimal Deep Learning Model and Nonlinear Features Extraction with Classification for Innovative Brain–Computer Interaction Using EEG Signals (ODECBC) model enhances BCI systems by using advanced signal processing and hybrid classification methods, improving accuracy and reliability in detecting mental states like Idle, Mental Arithmetic, and Motor Imagery. It utilizes data from 18 healthy individuals, capturing high-resolution EEG signals at 2048 Hz and fNIRS signals at 13.3 Hz to ensure consistent data collection. To enhance signal quality through wavelet denoising and a Butterworth filter to reduce noise and interference, down-sampling signals are down-sampled to 200 Hz for easier processing. Nonlinear feature extraction techniques help reveal brain signal patterns, aiding in understanding cognitive functions."". Tem filtro temporal explicito, mas parece ser dependente do fNIRS e avalia não só MI",passou
R. Jiang; S. Qiu; Y. Wang; C. Zhang; H. He,Evaluation of EEG and MEG responses during Fine Motor Imagery from the same limb,2024,IEEE,depende,depende,passou,passou,depende,depende,depende,"Artigo fala sobre uma exploração cerebral usando EEG e MEG para ver se existem areas do cerebro que podem auxiliar na hora de classificar movimento de mesmo membro. Logo, fora de escopo. O artigo fala ""This study designed four kinds of MI tasks of different joints from the same upper limb, including finger, wrist, elbow, and shoulder joints, and additionally added a resting task. The EEG and MEG signals of eight subjects were acquired synchronously. Analysis was conducted on the EEG and MEG data to find the time, time-frequency, and spatial difference between MI tasks of different joints from the same limb. The induced event-related desynchronization (ERD) in EEG signals at the electrode position of the left motor area are more broad and stronger in the alpha frequency band than that in MEG signals during fine MI tasks. From the topographical distribution, different MI tasks affects the area and intensity of the activated area, and topographical distribution of MEG signals in different MI tasks are more discriminative than that of EEG signals. Moreover, the analysis of movement-related cortical potentials (MRCP) showed that significant negative potentials were detected near the onset of the motor imagery events and there is a significant difference in temporal dimension between magnetoencephalogram and electroencephalogram signals. The work implies that there exist the separable differences between EEG and MEG during fine MI tasks, which can be utilized to build a multimodal classification method for fine MI-BCI systems.""",passou
Z. Wang; L. Yang; Y. Zhou; L. Chen; B. Gu; S. Liu; M. Xu; F. He; D. Ming,Incorporating EEG and fNIRS Patterns to Evaluate Cortical Excitability and MI-BCI Performance During Motor Training,2023,IEEE,depende,depende,passou,passou,passou,depende,depende,"Artigo parece estar fora de escopo, usa fNIRS junto, e compara um classificador especifico para o combo com EEG e só EEG separada. Acho que não conta, mas é bom verificar.",passou
M. J. Khan; K. -S. Hong; N. Naseer; M. R. Bhutta,A hybrid EEG-fNIRS BCI: Motor imagery for EEG and mental arithmetic for fNIRS,2014,IEEE,depende,depende,passou,passou,passou,depende,passou,"Artigo é meio diferente no proposito, mas acaba parte dele encaixa no escopo. O artigo fala "" The EEG data were band-pass filtered to obtain the activity (8~18 Hz).""",passou
S. Zhu; S. I. Hosni; X. Huang; S. B. Borgheai; J. McLinden; Y. Shahriari; S. Ostadabbas,A Graph-Based Feature Extraction Algorithm Towards a Robust Data Fusion Framework for Brain-Computer Interfaces,2021,IEEE,depende,depende,passou,passou,passou,passou,depende,"Parece que usa filtro temporal na forma de bandpass. Além disso, parece estar fora do escopo já que o foco é o metodo hibrido (EEG-fNIRS), sem contar que tem que entender melhor como foi feita essa analise. Ler e verificar se é isso mesmo. Artigo fala ""We first extract the amplitude and phase sequences of users’ multi-channel EEG signals based on the complex Morlet wavelet time-frequency maps, and then convert them into an undirected graph to extract EEG topological features. The graph-based features from EEG are then selected by a thresholding method and fused with the temporal features from fNIRS signals after each being selected by the least absolute shrinkage and selection operator (LASSO) algorithm. The fused features were then classified as MI task vs. baseline by a linear support vector machine (SVM) classifier. Results: The time-frequency graphs of EEG signals improved the MI classification accuracy by ∼5% compared to the graphs built on the band-pass filtered temporal EEG signals.""",passou
Qin L.; Ding L.; He B.,Motor imagery classification by means of source analysis for brain-computer interface applications,2004,Scopus,depende,passou,passou,depende,depende,depende,depende,Artigo faz um estudo sobre classificação de MI usando o resultado do problema inverso para dizer se foi ou não realisado o movimento. Foi usado o ICA como filtro espaço temporal. Muito tem que ser verificado para enteder melhor o que foi feito e se cabe dentro da SLR,passou
Chandrakant N.,Administrating MANETs via brain computer interface,2014,Scopus,depende,passou,passou,depende,depende,depende,depende,"O artigo fala ""The algorithms of Digital signal processing and pattern recognition certainly constitute necessary components of a BCI system which are applied to the EEG signals to decode mental states those are relevant for BCI operation"" mas complementa apenas depois com ""The processed data has been applied on to nodes of MANET where each set of sensor nodes are used for particular application"". Acretido que esse artigo pode ser cortado fora, mas vale a pena ver para ter certeza.",nao_passou
Tsui C.S.L.; Gan J.Q.; Roberts S.J.,A self-paced brain - Computer interface for controlling a robot simulator: An online event labelling paradigm and an extended Kalman filter based algorithm for online training,2009,Scopus,depende,passou,passou,depende,depende,depende,depende,"não fala nada com muita clareza, verificar se pode cortar.",passou
Yamaguchi T.; Fujio M.; Inoue K.,Design method of morphological structuring function for pattern recognition of EEG signals during motor imagery and cognition,2011,Scopus,depende,passou,passou,depende,depende,depende,depende,"O artigo fala ""we propose a design method of structuring function that determines the filter characteristic of morphology. The morphological method is compared with discrete wavelet transform (DWT) method from the view point of filter characteristics"". Pode ser que tenha filtro, mas tem que verificar se é MI de classificação.",passou
